sep=	
ticks[42]	tempo(s)[42]	ticks[CPP]	tempo(s)[CPP]
666	0.666	2071	2.071
624	0.624	2125	2.125
639	0.639	2149	2.149
664	0.664	1976	1.976
570	0.57	2024	2.024
573	0.573	1924	1.924
569	0.569	1932	1.932
573	0.573	1928	1.928
566	0.566	1942	1.942
573	0.573	2005	2.005
606	0.606	2034	2.034
604	0.604	2055	2.055
604	0.604	2038	2.038
591	0.591	2021	2.021
606	0.606	2149	2.149
581	0.581	2080	2.08
574	0.574	1982	1.982
565	0.565	1982	1.982
589	0.589	2017	2.017
655	0.655	1995	1.995
614	0.614	2071	2.071
612	0.612	2084	2.084
629	0.629	1940	1.94
572	0.572	1925	1.925
566	0.566	1914	1.914
561	0.561	1977	1.977
581	0.581	1987	1.987
591	0.591	2024	2.024
590	0.59	2012	2.012
597	0.597	2029	2.029
602	0.602	2103	2.103
569	0.569	2001	2.001
596	0.596	2006	2.006
593	0.593	2002	2.002
575	0.575	1920	1.92
599	0.599	1948	1.948
584	0.584	1901	1.901
561	0.561	1942	1.942
557	0.557	1961	1.961
601	0.601	1935	1.935
596	0.596	2096	2.096
604	0.604	2033	2.033
590	0.59	1952	1.952
579	0.579	1947	1.947
560	0.56	1911	1.911
561	0.561	1907	1.907
622	0.622	1915	1.915
560	0.56	1913	1.913
560	0.56	1918	1.918
553	0.553	1919	1.919
578	0.578	1883	1.883
552	0.552	1880	1.88
553	0.553	1897	1.897
554	0.554	1882	1.882
549	0.549	1896	1.896
555	0.555	1893	1.893
551	0.551	1883	1.883
550	0.55	1893	1.893
555	0.555	1891	1.891
545	0.545	1893	1.893
551	0.551	1889	1.889
549	0.549	1880	1.88
551	0.551	1884	1.884
551	0.551	1898	1.898
545	0.545	1883	1.883
554	0.554	1888	1.888
547	0.547	1887	1.887
554	0.554	1900	1.9
551	0.551	1908	1.908
555	0.555	1875	1.875
542	0.542	1879	1.879
557	0.557	1879	1.879
548	0.548	1886	1.886
550	0.55	1874	1.874
549	0.549	1884	1.884
552	0.552	1888	1.888
548	0.548	1885	1.885
548	0.548	1876	1.876
551	0.551	1888	1.888
546	0.546	1884	1.884
554	0.554	1880	1.88
550	0.55	1877	1.877
551	0.551	1882	1.882
548	0.548	1897	1.897
554	0.554	1877	1.877
546	0.546	1884	1.884
549	0.549	1886	1.886
548	0.548	1876	1.876
557	0.557	1877	1.877
547	0.547	1886	1.886
550	0.55	1889	1.889
551	0.551	1894	1.894
551	0.551	1895	1.895
560	0.56	1897	1.897
554	0.554	1895	1.895
551	0.551	1889	1.889
551	0.551	1888	1.888
554	0.554	1874	1.874
549	0.549	1886	1.886
553	0.553	1890	1.89
